year,lag1_PDO,lag2_PDO,lag1_NPGO,lag2_NPGO,lag1_fall_Nino3.4,lag2_fall_Nino3.4,smolt_sock,lag1_log_socksmolt,lag2_log_socksmolt,pink_ind
1978,0.6162308448922119,0.1953935824605278,1.1398575011776075,2.1100970591072468,0.9224372969525733,0.7276398747919501,NA,NA,NA,-1.007662947311558
1979,0.675616108368034,0.6017050743249854,0.5100001468059929,1.137436826516697,-0.13812644592192985,0.9224372969525733,NA,NA,NA,0.9771277064839351
1980,0.7438330264120552,0.6633152927647749,-0.7494926536022597,0.4908579980125158,0.41225357224617953,-0.13812644592192985,NA,NA,NA,-1.007662947311558
1981,0.8979301716364957,0.7340880565109946,-0.07058557038816266,-0.8020718594309636,0.09995929227438716,0.41225357224617953,NA,NA,NA,0.9771277064839351
1982,1.4183887115348535,0.8939586746162944,-0.13693579742456427,-0.10514112824072012,-0.07937801701634513,0.09995929227438716,NA,NA,NA,-1.007662947311558
1983,0.32641045647602096,1.4339169480193725,-0.8588694961338845,-0.173252823326004,1.9706329495311636,-0.07937801701634513,NA,NA,NA,0.9771277064839351
1984,1.7108484449944144,0.3010261450162694,-0.5944104418735641,-0.9143524420402431,-0.9698805183220501,1.9706329495311636,NA,NA,NA,-1.007662947311558
1985,1.0773041213147476,1.737334109258746,0.9957596748608368,-0.642872519952875,-1.1028374890031103,-0.9698805183220501,NA,NA,NA,0.9771277064839351
1986,0.5982629959431172,1.0800531292882738,0.261101720562471,0.9895134862822254,-0.46278881618963486,-1.1028374890031103,-0.774809204728185,NA,NA,-1.007662947311558
1987,1.6768414992433025,0.5830640338739722,-0.5947220739708711,0.23535180801553277,0.8946090937867699,-0.46278881618963486,-0.8335468768369005,-1.1177152902173417,NA,0.9771277064839351
1988,1.8709348732018865,1.7020530439983534,0.379947614833255,-0.6431924252695352,1.135786854557065,0.8946090937867699,-0.672336428336841,-1.5372134910952795,-1.101131839805423,-1.007662947311558
1989,0.44558703651126025,1.9034184075143834,1.5294645176593782,0.3573528270665828,-1.9407756065511872,1.135786854557065,-0.470281925441857,-0.6653471933055907,-1.5151020403683655,0.9771277064839351
1990,-0.14105815601314184,0.42466784834671867,0.6543020839885912,1.5373871431167399,-0.2648993714550337,-1.9407756065511872,-0.6615982430396552,-0.14480109579729372,-0.6547248911822429,-1.007662947311558
1991,-0.36814334301384904,-0.1839568565482272,0.11554423939954632,0.6389908678549151,0.15561569860599372,-0.2648993714550337,-0.4410457217574926,-0.6287509748939043,-0.1410383677674062,0.9771277064839351
1992,-0.45067363225460677,-0.41955011919747337,-0.06590391702473734,0.08593006196917959,1.1265107868351307,0.15561569860599372,-0.8986811227389678,-0.08919648155681553,-0.6186109249148661,-1.007662947311558
1993,1.2978924589779293,-0.5051725253368731,-1.3726084845269388,-0.10033518618705277,-0.14740251364386428,1.1265107868351307,0.8741301435338635,-2.4924538696165857,-0.0861664916516524,0.9771277064839351
1994,1.6356271112583731,1.3089061287235944,-0.7636462761492416,-1.4417301902980224,0.248376375825338,-0.14740251364386428,-0.6422641370542905,1.0924270911332488,-2.457754595861323,-1.007662947311558
1995,-0.002391027965325008,1.6592944992350125,-0.7196240333649201,-0.8166012328232104,0.9966458387280486,0.248376375825338,-0.04935379202412026,-0.5663597374438479,1.0798860595933466,0.9771277064839351
1996,0.9808665139608487,-0.040094363576000824,-1.4166929390790375,-0.7714102860635103,-0.6946905092379956,0.9966458387280486,-0.81260775128554,0.44254297789046004,-0.557041857332416,-1.007662947311558
1997,1.2013533383531314,0.9800023472065644,-0.7030655167750347,-1.4869850004255936,-0.3205557777866403,-0.6946905092379956,-0.8356287013785688,-1.3646441480227802,0.43856589150025826,0.9771277064839351
1998,1.8449474758517834,1.2087500300291674,-0.5586263988521629,-0.7544121734207889,2.15924632654383,-0.3205557777866403,-0.5547905707075148,-1.5563069715631692,-1.344806755637158,-1.007662947311558
1999,0.06410016447341582,1.8764573546586807,0.4037541375048626,-0.6061384809592303,-1.2234263693882579,2.15924632654383,-0.5486693349987062,-0.327792320017757,-1.5339439136402768,0.9771277064839351
2000,-1.4645881819922306,0.028888017754019835,1.4849797964386429,0.38179136609915965,-1.2388864822581487,-1.2234263693882579,-0.7195434787099292,-0.3132264406509934,-0.32161819774823963,-1.007662947311558
2001,-0.7400879675872024,-1.5570748531601502,2.073465328650783,1.4917214400276113,-0.6946905092379956,-1.2388864822581487,-0.5918235430785789,-0.8464086166163192,-0.3072442624364426,0.9771277064839351
2002,-0.6909555444721635,-0.8054301881947188,1.8848518868940365,2.095830105852429,-0.3174637552126622,-0.6946905092379956,1.8713476034636125,-0.42127114427895423,-0.8334003504936014,-1.007662947311558
2003,0.04846712075499433,-0.7544569476394059,0.9333128270341275,1.9022093481288211,1.2223634866284532,-0.3174637552126622,3.29392546841594,1.491692846720562,-0.4138651908147385,0.9771277064839351
2004,0.8543809784208928,0.01266925939551119,0.9425666907908826,0.9254087974485846,0.35350514334059485,1.2223634866284532,-0.2983097871739799,1.8645338470168897,1.4738904309410268,-1.007662947311558
2005,0.07800748258655706,0.8487778477604487,0.1980460281952895,0.9349083330901893,0.6286951524246496,0.35350514334059485,-0.7936430012672455,0.14205522017588124,1.8418182631647195,0.9771277064839351
2006,0.10196461451868352,0.04331639369632953,-1.0507611867290632,0.17062211101617414,-0.422592522727919,0.6286951524246496,0.43279677182625864,-1.2323944799955175,0.1420378561773895,-1.007662947311558
